Order,State,18+ Estimate,18-25 Estimate,26+ Estimate
1,Total U.S.,22.77%,33.67%,21.12%
2,Northeast,21.07%,33.23%,19.29%
3,Midwest,23.37%,35.04%,21.55%
4,South,22.50%,32.54%,20.98%
5,West,23.95%,34.58%,22.34%
6,Alabama,22.53%,29.55%,21.46%
7,Alaska,26.19%,39.23%,24.32%
8,Arizona,21.78%,32.14%,20.15%
9,Arkansas,23.02%,32.29%,21.56%
10,California,22.83%,33.44%,21.21%
11,Colorado,24.97%,33.35%,23.71%
12,Connecticut,20.21%,32.38%,18.33%
13,Delaware,19.96%,33.85%,18.10%
14,District of Columbia,28.49%,33.30%,27.69%
15,Florida,20.98%,32.63%,19.51%
16,Georgia,23.14%,34.10%,21.39%
17,Hawaii,20.97%,34.72%,19.26%
18,Idaho,26.67%,37.51%,24.94%
19,Illinois,21.60%,31.98%,20.03%
20,Indiana,23.70%,36.96%,21.48%
21,Iowa,25.26%,35.82%,23.47%
22,Kansas,23.06%,35.36%,20.96%
23,Kentucky,23.05%,34.02%,21.35%
24,Louisiana,23.54%,30.59%,22.48%
25,Maine,23.28%,35.41%,21.78%
26,Maryland,23.13%,34.61%,21.49%
27,Massachusetts,22.79%,34.68%,20.87%
28,Michigan,21.75%,35.92%,19.56%
29,Minnesota,24.91%,36.07%,23.24%
30,Mississippi,21.92%,28.68%,20.85%
31,Missouri,24.48%,35.61%,22.78%
32,Montana,26.81%,37.74%,25.16%
33,Nebraska,24.00%,34.74%,22.18%
34,Nevada,25.42%,34.55%,24.19%
35,New Hampshire,21.99%,35.85%,20.03%
36,New Jersey,19.06%,33.20%,17.09%
37,New Mexico,24.42%,35.34%,22.73%
38,New York,20.17%,29.10%,18.87%
39,North Carolina,22.53%,33.06%,20.94%
40,North Dakota,25.79%,37.00%,23.73%
41,Ohio,24.30%,34.35%,22.78%
42,Oklahoma,27.90%,36.09%,26.55%
43,Oregon,27.32%,39.53%,25.62%
44,Pennsylvania,22.19%,37.83%,19.95%
45,Rhode Island,25.85%,38.72%,23.74%
46,South Carolina,22.35%,28.97%,21.40%
47,South Dakota,23.41%,34.08%,21.71%
48,Tennessee,24.89%,36.30%,23.20%
49,Texas,21.70%,31.32%,20.07%
50,Utah,25.34%,37.07%,22.78%
51,Vermont,25.21%,36.71%,23.35%
52,Virginia,22.24%,32.98%,20.61%
53,Washington,26.89%,38.26%,25.30%
54,West Virginia,23.92%,33.74%,22.54%
55,Wisconsin,23.76%,36.69%,21.76%
56,Wyoming,25.68%,33.46%,24.53%
